file name,visibility,x-coordinate,y-coordinate,status,
0000.jpg,1,686,115,0,
0001.jpg,1,754,240,0,
0002.jpg,1,758,241,2,
0003.jpg,1,767,223,0,
0004.jpg,1,771,208,0,
0005.jpg,1,776,195,0,
0006.jpg,1,781,181,0,
0007.jpg,2,785,169,0,
0008.jpg,2,790,160,0,
0009.jpg,2,794,151,0,
0010.jpg,2,798,142,0,
0011.jpg,2,800,132,0,
0012.jpg,2,804,124,0,
0013.jpg,2,806,117,0,
0014.jpg,2,807,115,0,
0015.jpg,2,795,123,1,
0016.jpg,2,788,130,0,
0017.jpg,2,778,142,0,
0018.jpg,2,769,152,0,
0019.jpg,2,762,163,0,
0020.jpg,1,750,175,0,
0021.jpg,1,742,185,0,
0022.jpg,1,733,200,0,
0023.jpg,1,723,213,0,
0024.jpg,1,713,229,0,
0025.jpg,1,705,244,0,
0026.jpg,2,695,262,0,
0027.jpg,1,686,278,0,
0028.jpg,1,675,299,0,
0029.jpg,1,667,318,0,
0030.jpg,1,657,341,0,
0031.jpg,1,647,363,0,
0032.jpg,2,636,385,0,
0033.jpg,1,626,411,0,
0034.jpg,1,617,431,2,
0035.jpg,1,609,433,0,
0036.jpg,1,602,437,0,
0037.jpg,1,594,443,0,
0038.jpg,1,585,449,0,
0039.jpg,1,578,457,0,
0040.jpg,1,569,467,0,
0041.jpg,1,561,474,0,
0042.jpg,1,552,486,0,
0043.jpg,1,544,500,0,
0044.jpg,1,535,515,0,
0045.jpg,1,537,506,1,
0046.jpg,1,547,472,0,
0047.jpg,1,559,437,0,
0048.jpg,1,570,409,0,
0049.jpg,1,578,385,0,
0050.jpg,1,586,364,0,
0051.jpg,1,595,344,0,
0052.jpg,1,603,326,0,
0053.jpg,1,610,311,0,
0054.jpg,1,616,298,0,
0055.jpg,1,623,286,0,
0056.jpg,1,627,275,0,
0057.jpg,1,633,267,0,
0058.jpg,2,638,259,0,
0059.jpg,1,644,251,0,
0060.jpg,1,649,245,0,
0061.jpg,1,654,242,0,
0062.jpg,1,658,239,0,
0063.jpg,1,662,234,0,
0064.jpg,1,667,232,0,
0065.jpg,1,670,231,0,
0066.jpg,1,674,232,0,
0067.jpg,1,678,230,0,
0068.jpg,1,682,231,0,
0069.jpg,1,685,231,2,
0070.jpg,2,688,219,0,
0071.jpg,1,690,208,0,
0072.jpg,1,691,199,0,
0073.jpg,1,694,189,0,
0074.jpg,1,696,179,0,
0075.jpg,1,698,173,0,
0076.jpg,1,700,166,0,
0077.jpg,2,702,160,0,
0078.jpg,1,704,155,0,
0079.jpg,1,705,150,0,
0080.jpg,1,707,146,0,
0081.jpg,1,709,144,0,
0082.jpg,1,710,141,0,
0083.jpg,1,713,139,0,
0084.jpg,2,714,137,0,
0085.jpg,2,715,139,0,
0086.jpg,2,714,138,0,
0087.jpg,2,719,138,0,
0088.jpg,2,719,139,1,
0089.jpg,2,720,139,1,
0090.jpg,1,721,140,0,
0091.jpg,2,722,142,0,
0092.jpg,2,722,144,0,
0093.jpg,1,723,147,0,
0094.jpg,2,723,150,0,
0095.jpg,2,724,153,0,
0096.jpg,1,725,155,0,
0097.jpg,2,726,161,0,
0098.jpg,2,727,165,0,
0099.jpg,1,729,169,0,
0100.jpg,1,729,175,0,
0101.jpg,1,731,181,0,
0102.jpg,1,733,187,0,
0103.jpg,1,734,193,0,
0104.jpg,1,737,201,0,
0105.jpg,1,738,208,0,
0106.jpg,1,741,217,0,
0107.jpg,1,743,226,0,
0108.jpg,1,746,235,0,
0109.jpg,1,749,246,0,
0110.jpg,1,752,255,0,
0111.jpg,1,754,269,0,
0112.jpg,1,757,280,0,
0113.jpg,1,761,292,0,
0114.jpg,1,764,305,0,
0115.jpg,1,768,320,0,
0116.jpg,1,772,334,0,
0117.jpg,1,776,349,0,
0118.jpg,1,780,366,0,
0119.jpg,1,784,382,0,
0120.jpg,1,789,401,0,
0121.jpg,1,794,418,0,
0122.jpg,1,799,438,0,
0123.jpg,1,805,458,0,
0124.jpg,1,810,480,0,
0125.jpg,1,815,502,0,
0126.jpg,1,822,525,0,
0127.jpg,1,827,541,2,
0128.jpg,1,833,542,0,
0129.jpg,1,839,544,0,
0130.jpg,1,846,546,0,
0131.jpg,1,853,551,0,
0132.jpg,1,858,555,0,
0133.jpg,1,865,559,0,
0134.jpg,2,872,564,0,
0135.jpg,2,881,574,0,
0136.jpg,1,872,536,1,
0137.jpg,1,851,482,0,
0138.jpg,1,844,449,0,
0139.jpg,1,832,411,0,
