file name,visibility,x-coordinate,y-coordinate,status
0000.jpg,2,586,484,0
0001.jpg,1,584,467,0
0002.jpg,1,581,452,0
0003.jpg,1,579,439,0
0004.jpg,1,576,427,0
0005.jpg,1,574,414,0
0006.jpg,1,571,404,0
0007.jpg,1,569,394,0
0008.jpg,1,567,386,0
0009.jpg,1,564,380,0
0010.jpg,1,562,373,0
0011.jpg,1,559,368,0
0012.jpg,1,558,365,0
0013.jpg,1,555,362,0
0014.jpg,1,552,361,0
0015.jpg,1,550,362,0
0016.jpg,1,548,364,0
0017.jpg,1,546,365,0
0018.jpg,1,544,370,0
0019.jpg,1,541,375,0
0020.jpg,1,539,381,0
0021.jpg,1,538,387,0
0022.jpg,1,536,396,0
0023.jpg,1,534,405,1
0024.jpg,1,568,388,0
0025.jpg,1,601,370,0
0026.jpg,1,629,356,0
0027.jpg,1,656,345,0
0028.jpg,2,680,333,0
0029.jpg,2,700,329,0
0030.jpg,1,714,323,0
0031.jpg,1,733,319,0
0032.jpg,1,746,317,0
0033.jpg,1,760,317,0
0034.jpg,1,770,318,0
0035.jpg,1,778,319,0
0036.jpg,1,788,322,2
0037.jpg,1,795,310,0
0038.jpg,1,805,290,0
0039.jpg,1,812,271,0
0040.jpg,1,817,258,0
0041.jpg,1,824,241,0
0042.jpg,2,829,230,0
0043.jpg,1,835,216,0
0044.jpg,1,840,207,0
0045.jpg,1,846,199,0
0046.jpg,1,851,189,0
0047.jpg,1,852,185,1
0048.jpg,2,818,198,0
0049.jpg,2,793,209,0
0050.jpg,1,771,221,0
0051.jpg,1,743,234,0
0052.jpg,2,712,248,0
0053.jpg,1,686,264,0
0054.jpg,1,659,280,0
0055.jpg,1,632,300,0
0056.jpg,1,604,317,0
0057.jpg,2,576,338,0
0058.jpg,2,549,357,0
0059.jpg,2,516,383,0
0060.jpg,1,486,411,0
0061.jpg,1,454,439,0
0062.jpg,1,424,466,0
0063.jpg,1,394,497,2
0064.jpg,1,371,501,0
0065.jpg,1,345,502,0
0066.jpg,1,322,507,0
0067.jpg,1,300,512,0
0068.jpg,1,273,521,0
0069.jpg,2,248,530,0
0070.jpg,1,224,539,0
0071.jpg,1,196,553,0
0072.jpg,1,172,563,0
0073.jpg,1,143,582,0
0074.jpg,1,119,600,0
0075.jpg,1,92,619,0
0076.jpg,1,62,642,0
0077.jpg,1,33,666,0
0078.jpg,1,3,694,0
0079.jpg,0,,,
0080.jpg,0,,,
0081.jpg,0,,,
0082.jpg,0,,,
0083.jpg,0,,,
0084.jpg,0,,,
0085.jpg,0,,,
0086.jpg,0,,,
